Timestamp,"MS Nam Otjiwarongo Town Square Safland  - INV 001 - ES2140073045 - AC power [W] - P_AC","MS Nam Otjiwarongo Town Square Safland  - INV002 - ES24A0053443 - AC power [W] - P_AC"
2024-02-01 00:00:00,,
2024-02-01 00:30:00,,
2024-02-01 01:00:00,,
2024-02-01 01:30:00,,
2024-02-01 02:00:00,,
2024-02-01 02:30:00,,
2024-02-01 03:00:00,,
2024-02-01 03:30:00,,
2024-02-01 04:00:00,,
2024-02-01 04:30:00,,
2024-02-01 05:00:00,,
2024-02-01 05:30:00,,
2024-02-01 06:00:00,,
2024-02-01 06:30:00,0.000,0.000
2024-02-01 07:00:00,369.167,191.333
2024-02-01 07:30:00,3625.833,3126.667
2024-02-01 08:00:00,10568.000,9310.500
2024-02-01 08:30:00,18678.833,16600.333
2024-02-01 09:00:00,21948.333,19459.500
2024-02-01 09:30:00,11332.167,10026.000
2024-02-01 10:00:00,18308.500,16297.333
2024-02-01 10:30:00,23167.333,20596.000
2024-02-01 11:00:00,45289.833,40342.667
2024-02-01 11:30:00,59535.833,52879.333
2024-02-01 12:00:00,96323.500,81725.667
2024-02-01 12:30:00,92287.833,93434.667
2024-02-01 13:00:00,74230.333,66958.833
2024-02-01 13:30:00,65813.167,58610.333
2024-02-01 14:00:00,49505.667,44102.500
2024-02-01 14:30:00,38948.500,34640.833
2024-02-01 15:00:00,51726.833,46249.667
2024-02-01 15:30:00,36971.500,32950.000
2024-02-01 16:00:00,21290.667,18898.833
2024-02-01 16:30:00,17356.833,15380.333
2024-02-01 17:00:00,17643.500,15621.500
2024-02-01 17:30:00,16282.667,14399.833
2024-02-01 18:00:00,18974.333,16737.167
2024-02-01 18:30:00,14337.167,12603.667
2024-02-01 19:00:00,8043.167,7021.167
2024-02-01 19:30:00,2023.833,1643.167
2024-02-01 20:00:00,27.500,0.000
2024-02-01 20:30:00,,
2024-02-01 21:00:00,,
2024-02-01 21:30:00,,
2024-02-01 22:00:00,,
2024-02-01 22:30:00,,
2024-02-01 23:00:00,,
2024-02-01 23:30:00,,
2024-02-02 00:00:00,0.000,0.000
2024-02-02 00:30:00,,
2024-02-02 01:00:00,,
2024-02-02 01:30:00,,
2024-02-02 02:00:00,,
2024-02-02 02:30:00,,
2024-02-02 03:00:00,,
2024-02-02 03:30:00,,
2024-02-02 04:00:00,,
2024-02-02 04:30:00,,
2024-02-02 05:00:00,,
2024-02-02 05:30:00,,
2024-02-02 06:00:00,,
2024-02-02 06:30:00,0.000,0.000
2024-02-02 07:00:00,868.167,582.167
2024-02-02 07:30:00,3748.000,3158.500
2024-02-02 08:00:00,13080.500,11400.833
2024-02-02 08:30:00,24365.833,21479.667
2024-02-02 09:00:00,35858.500,30672.167
2024-02-02 09:30:00,47598.500,41739.333
2024-02-02 10:00:00,45646.833,40294.500
2024-02-02 10:30:00,42218.500,40716.667
2024-02-02 11:00:00,63112.667,56867.833
2024-02-02 11:30:00,50240.000,48012.333
2024-02-02 12:00:00,71597.167,69890.500
2024-02-02 12:30:00,54335.000,53989.000
2024-02-02 13:00:00,56667.000,55676.667
